Step,Time (s),C8H20O4SI (mol/cm3),Err,C6H16O4SI (mol/cm3),Err,C4H12O4SI (mol/cm3),Err,C2H8O4SI (mol/cm3),Err,H4O4SI (mol/cm3),Err,C6H16O4SI2 (mol/cm3),Err,C4H12O4SI2 (mol/cm3),Err,C2H8O4SI2 (mol/cm3),Err,H2 (mol/cm3),Err,H2O (mol/cm3),Err,H (mol/cm3),Err,CH4 (mol/cm3),Err,CH3 (mol/cm3),Err,CH2 (mol/cm3),Err,CH (mol/cm3),Err,CO (mol/cm3),Err,C2H (mol/cm3),Err,C2H2 (mol/cm3),Err,C2H3 (mol/cm3),Err,C2H4 (mol/cm3),Err,C2H5OH (mol/cm3),Err,C2H5 (mol/cm3),Err,H2CCCH (mol/cm3),Err,C3H2 (mol/cm3),Err,CH2(S) (mol/cm3),Err,C3H6 (mol/cm3),Err,AC3H5 (mol/cm3),Err,PC3H5 (mol/cm3),Err,N2 (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
47,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25097e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
48,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28677e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
49,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32121e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
50,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35772e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
51,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3932e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
52,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42927e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
53,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46264e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
54,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4951e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52805e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
56,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55967e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
57,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58765e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
58,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6173e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
59,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64415e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
60,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6712e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
61,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6977e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
62,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72358e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
63,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74989e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
64,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77809e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
65,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80608e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
66,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83262e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
67,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85709e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
68,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8811e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
69,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90408e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
70,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9275e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
71,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95058e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
72,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97467e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
73,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99946e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
