Weight,Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (cm-3),Num coags,silica,Number of Si atoms,Number of O atoms,Number of OH atoms,Number of primaries,Avg. primary diameter,Avg. Sintering Level
45347.7,26.4843,50.3011,50.3011,5.76779e-11,9.72664e-18,2.13986e-17,0.727332,1.3714e-05,1429,196160,11128.9,20873,1874.63,19,9.35955,0.0116591
6564.13,50.5179,137.945,137.945,3.61768e-10,6.75049e-17,1.48511e-16,0.727332,1.98512e-06,1111,1.35434e+06,10731.6,20494.1,1673.92,136,8.82144,0.0337222
21463.9,33.9608,68.0869,68.0869,1.02857e-10,2.05084e-17,4.51186e-17,0.728232,6.4911e-06,682,408557,10219.8,19945.2,1522.3,43,8.53961,0.0935249
6059.61,52.1309,145.335,145.335,3.97424e-10,7.41794e-17,1.63195e-16,0.727332,1.83254e-06,283,1.46816e+06,11447.4,22096.7,1890.95,139,9.37112,0.0269884
9023.78,45.3898,109.499,109.499,2.42518e-10,4.89637e-17,1.0772e-16,0.727332,2.72897e-06,1292,982494,11245.5,21399.3,1885.23,94,9.16788,0.0601883
20523.6,34.5043,73.6802,73.6802,1.16711e-10,2.15088e-17,4.73195e-17,0.727332,6.20675e-06,1000,424894,10701.8,21081.8,1469.91,43,9.1723,0.0490214
7009.75,49.3945,131.244,131.244,3.31979e-10,6.31008e-17,1.38822e-16,0.727332,2.11988e-06,1029,1.26189e+06,10237,19628,1597.65,133,8.37086,0.0435004
8367.41,46.6716,116.449,116.449,2.69699e-10,5.323e-17,1.17106e-16,0.727332,2.53047e-06,807,1.0607e+06,11219,21751.6,1673.18,102,9.06549,0.0505185
11705.6,41.4212,95.0529,95.0529,1.87374e-10,3.72106e-17,8.18633e-17,0.727332,3.53999e-06,1930,751465,9617.89,18519.3,1211.71,84,7.63056,0.0768835
8941.26,45.439,116.657,116.657,2.66826e-10,4.91231e-17,1.08071e-16,0.727332,2.70401e-06,289,980745,8382.52,16294.4,1206.07,126,7.17992,0.0544977
